block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,17,,164.34,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,18,,164.34,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,19,,166,5,PORTION
S/Shed,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,20,,126,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,21,,80,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,22,,39.84,5,PORTION
S/Shed,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,23,,27.39,5,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,1,,145,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,2,,147,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,3,,152,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,4,,158,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,5,,160,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,6,,163,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,7,,165,3.7,PORTION
STK- Pink Belle,Pink Belle,33c0a71e-0b18-436e-8efa-a06099e194ae,8,,164,3.7,PORTION
Smll/Dam,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,24,,131,5,PORTION
Smll/Dam,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,25,,129,5,PORTION
Smll/Dam,Spray Shed Sundowner,e94f30b2-d5f6-4c68-8f4c-c233ad489bf8,26,,130,5,PORTION
Smll/Dam,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,27,,95,5,PORTION
Smll/Dam,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,28,,98,5,PORTION
Smll/Dam,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,29,,65,5,PORTION
Smll/Dam,Spray Shed Pink Lady,e2dd733e-5d38-42ab-af72-71716b2dea03,30,,40,5,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,23,,219,3,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,24,,219,3,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,25,,217,3,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,26,,215,3,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,27,,214,3,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,28,,213,3,PORTION
Stk Yd GS,Stockyard Granny Smiths,1c4a678f-3234-42cf-a1d6-dfa1af5ef567,29,,213,3,PORTION
